comment_karma,link_karma,avg_upvotes
31343.0,20684.0,1503.39
1000.0,1000.0,1.0046948356807512
18369.0,1.0,170.6
1981.0,2622.0,136.0
18476.0,473.0,57.0
3414.1428571428573,317.0,61.142857142857146
12060.0,7.0,45.4
5205.0,1.0,28.0
16596.0,53.0,46.0
336.0,2098.0,237.9925
144.0,1.0,128.0
298.0,244.0,129.0
2728.0,1669.0,95.0
4899.0,168.0,48.0
1581.0,5088.0,98.0
17736.0,7679.0,40.0
146787.0,4946.0,26.0
1304.0,15.0,36.0
100.0,342.0,54.37125
26.0,1.0,16.0
3.0,1.0,8.0
1235.0,349.0,6.0
5210.0,418.0,6.0
23410.0,1496.0,4.0
123.0,436.0,76.77222222222223
5373.0,2741.0,34.0
26496.0,714.0,14.0
8.0,1.0,5.0
17701.0,108160.0,36.0
2273.0,321.0,23.0
72522.0,85.0,20.0
2729.0,9589.4,99.40916666666668
9188.0,192.0,1.0
48173.0,13320.0,1.0
299.0,59.0,1.0
430.0,1726.0,45.98333333333333
23936.0,4510.0,41.0
8971.0,129.0,10.0
3552.0,2195.0,5.0
160257.0,23048.0,2.0
46314.0,2807.0,8.0
22510.0,1094.0,61.5
2.0,1.0,3.0
661.0,417.0,2.0
101.375,142.5,21.451
33687.0,7.0,27.0
4557.0,867.0,18.0
10568.0,506.0,47.0
544.0,15.0,20.5
32580.0,10880.0,21.0
642939.0,563.0,16.0
1014.0,2871.0,11.0
273.0,77.0,10.0
1306.0,2023.0,8.437777777777777
221.0,14.0,3.7777777777777777
18178.0,1683.0,2.0
183.0,1354.0,106.48
9086.0,866.0,131.0
620.0,66.0,9.0
4533.5,2051.0,29.5
40136.0,2358.0,14.0
31424.0,50.0,17.5
129917.0,1188.0,33.125
2024.0,296.0,7.0
169032.0,11614.0,10.0
5582.0,1273.0,10.986666666666666
10139.727272727272,10.0,4.181818181818182
21691.0,3909.0,4.0
43.0,4.0,10.0
62694.0,8878.0,3.0
4132.0,644.0,2.0
269095.0,360070.0,2.0
68339.0,58105.0,134.32
30626.0,121.0,10.0
80794.375,24750.0,13.875
9650.0,4321.0,29.0
10005.0,2862.0,6.0
160.0,1.0,22.0
2898.0,365.0,7.0
516.0,1711.0,44.47
6464.0,101.0,3.2222222222222223
4170.0,10762.0,4.0
272.0,404.0,1.4
4264.0,36.0,6.0
8.0,1.0,2.333333333333333
14123.0,2703.0,0.0
305.0,12.0,17.95
4660.0,29845.0,5.0
200.0,1.0,1.0
86724.0,2448.0,1.0
308.0,28.0,14.955
853.6595744680851,1.0,2.5531914893617023
8.5,596.0,1.6666666666666667
1343.8333333333333,1.0,179.33333333333334
4550.0,1734.0,0.5
95707.0,677.0,1.0
3550.0,27.0,1.0
60397.0,3448.0,1.0
13454.0,10459.0,1662.98
15859.0,554.0,243.0
1191.0,42.0,186.0
241402.0,9314.0,46.0
8649.0,199.0,51.0
23092.0,236.0,142.0
2584.0,1364.0,69.0
20876.0,7178.0,84.0
35923.0,16526.0,187.0
730.0,252.0,71.0
34961.0,3712.0,238.985
36740.0,14414.0,72.0
2425.0,6486.0,8.666666666666666
2329.0,2913.0,4.0
35.0,14.0,12.386
77846.0,6830.0,3.0
22353.0,24127.0,4.0
23291.0,5444.0,5.0
228.0,1.0,2.0
969.0,559.0,50.94
4436.0,523.0,48.0
306.0,1352.0,30.0
1086.0,14.0,6.0
359.0,1.0,11.0
19937.0,2033.0,3.0
9333.0,806.0,2.0
2757.8,784.0,3.0
1728.0,341.0,3.0
24.0,9840.0,9.46
17698.0,4526.0,49.925
1622.0,1.0,6.0
37638.0,4876.0,0.666
44.0,1798.0,1110.41
9996.0,493.0,521.0
34.0,1.0,34.0
12125.0,789.0,10.0
801.0,311.0,72.0
25977.0,95.0,213.0
528.0,1.0,271.0
1999.0,2013.0,84.0
5477.0,887.0,51.0
3018.0,10.0,60.0
994.0,11708.0,2072.985
12443.5,39666.0,822.0
9558.0,1862.0,351.0
26390.0,9181.0,284.0
4071.0,14714.0,34.0
13455.0,3199.0,79.0
4634.0,758.0,306.0
2405.0,1222.0,188.0
14035.0,15288.0,84.0
28596.0,3394.0,108.0
2651.0,6589.0,4454.44
2890.0,1.0,3572.0
1864.0,41.0,70.0
370480.1379310345,4273.0,31.620689655172413
1445.0,1.0,1545.0
66752.0,9362.0,283.0
5318.0,73.0,70.0
375.0,4.0,105.0
69.0,8.0,77.0
5520.0,4631.0,16.92142857142857
11930.285714285714,8.0,18.571428571428573
12.0,1.0,10.0
11009.0,1.0,13.2
35995.0,49.0,15.0
442.0,1.0,8.0
834.0,992.0,3.85375
5262.0,171.0,3.0
8795.0,1.0,2.0
3279.0,10880.0,2.0
10134.9,774.0,1.9
312374.0,2402.0,94.0
1298.0,1.0,50.0
3150.0,79.0,8.0
2863.0,619.0,30.0
3026.0,646.3333333333334,9.666666666666666
5641.0,28465.0,40.0
8729.0,10754.25,7.428333333333334
313.25,1.0,6.5
14.0,88.0,7.92
35314.0,164.0,1.0
2391.0,121.0,1.3333333333333333
13813.0,12026.0,312.4925
17990.0,26813.0,368.0
180.0,169.0,77.0
955.0,4.0,91.0
10151.0,697.0,41.0
3009.0,46.0,39.0
16591.0,278.0,22.0
480.0,1.0,37.0
699.0,418.0,157.796
2825.0,261.0,31.0
1650.0,28.0,77.0
818.0,449.0,14.0
5119.0,2503.0,20.0
94.0,1.0,7.0
139438.0,287.0,16.0
5.0,1.0,6.0
1920.0,8806.0,2568.485
61161.0,1176.0,1572.0
635.0,17.0,409.0
30617.0,3117.0,419.0
6250.0,2810.0,242.0
282847.0,141978.0,716.0
15252.0,66.0,163.6
6021.0,41.0,179.0
29045.0,5491.0,246.0
32833.0,9810.0,4.5
82885.75,17618.0,1.0
0.0,1.0,1.0
2432.0,1656.0,8.7275
2232.0,6775.0,2.98
276.0,1002.0,1.4845454545454544
5.0,72.0,1.5
8802.0,43115.0,3.95
848.0,17.0,1.5
52922.0,33935.0,1.1568181818181815
981.0,36.0,2.3461538461538463
862.0,25.0,2.0
11.11111111111111,7.0,2.98
2378.0,6351.0,5.425
0.0,1.0,1.0
5002.0,1932.0,5.34
325.0,55.0,1.5238095238095235
0.9285714285714286,1.0,1.4285714285714286
1579.125,1.0,62.4375
868.0,79.0,2.0
54620.0,15049.0,1.25
186.0,14.0,2.5
2064.0,53.0,1.0
11.0,5.0,3.046875
192.0,368.0,3.0
3688.0,6142.0,3.0
225.0,572.0,2.0
28233.0,6.0,1.0
793.0,7303.0,40.45
2078.0,377.0,7.0
23274.0,447.0,8.0
4081.0,94.0,4.0
2156.0,63.0,4.0
33189.0,3216.0,3.0
2248.0,2575.0,3.0
77218.0,916.0,2.0
7432.0,1034.0,2.0
11650.0,21579.0,4.395
242.0,7049.0,2.5
4284.0,34.0,1.0
45.0,933.0,466.48
35.0,1.0,38.0
172.0,1.0,7.0
2.0,1.0,4.0
7659.0,839.0,5.0
1055.0,816.0,3.0
5400.0,12.0,27.5
36228.0,24550.0,6.92
7298.0,2879.0,3.0
101.0,1.0,3.0
123.0,682.0,0.0
1.0,1.0,1.0
28935.0,1403.0,1.0
122.0,608.0,2.0
149.0,418.0,1.9
81517.0,28335.0,1.855
6017.0,907.0,1.5
74.0,4.0,4.0
48.0,92.0,3.215
11.0,6.0,1.0
108850.0,14002.0,1.0
2634.0,5136.0,2.375
29243.0,15437.5,1.5
5.0,14.0,1.855
675.0,48.0,2.0
71.0,205.0,1.122142857142857
5826.0,8812.0,1.3333333333333333
1150.0,2119.0,49.4775
1620.0,179.0,16.0
121577.0,7068.0,31.0
1274.0,1751.0,22.0
4564.0,1.0,12.0
7.0,1.0,8.0
21471.0,16979.0,10.0
93.0,12.0,2.623333333333333
529.0,736.0,1.0
56619.0,4530.0,1.0
271.0,228.0,1.375
4007.0,5049.0,1.7916666666666667
1295.0,20.0,1.0
6.0,1.0,1.0
996.0,3210.0,23.93
76.0,100.0,0.5566666666666666
306.0,2265.0,-11.2
8935.0,1126.0,16.0
22673.0,1054.0,3.0
21138.0,1181.0,3.0
293.0,1021.0,2.0
11330.0,4539.0,2.6
15117.0,18701.0,11.0
9619.0,5894.0,3.0
7395.0,7959.0,1.0
97.0,1.0,3.0
124.0,1.0,1.0
446.0,9001.0,1.6116666666666666
501.0,164.0,2.6666666666666665
1407.0,1.0,1.8
4743.333333333333,1081.0,1.0
1804.0,35.0,1.0
14589.0,26128.0,0.9471428571428572
188.0,1.0,4.0
6327.0,4943.0,1.3333333333333333
34023.0,1263.0,1.0
79.0,6.0,1.5
3483.0,394.0,1.25
46559.0,4073.0,2.375
5857.0,39.0,3.0
5888.857142857143,23.0,2.4285714285714284
21825.0,267.0,2.0
111048.0,3588.0,2.0
2000.0,49.0,2.1575
22464.0,669.0,4.0
520.0,747.0,2.415
1805.0,21.0,1.0
203.0,603.0,2.35
-22.0,7.0,0.0
79.0,18.0,1.0
5265.0,1260.0,1.0
7106.0,991.0,1.0
55.0,1546.0,3.6875
47049.0,1825.0,1.0
119.0,968.0,647.49
23613.0,360.0,223.0
1888.0,1952.0,25.0
17210.0,780.0,16.0
11211.0,45.0,84.0
143377.0,10209.0,40.0
7139.0,326.0,19.0
188.0,3.0,40.0
2469.0,11.0,36.0
119.0,308.0,9.42
209464.0,17477.0,3.0
502018.5,88536.0,11.0
10716.0,1684.0,3.0
22190.0,83824.0,2.0
52708.0,5499.0,2.0
247.0,3.0,1.0
54278.0,159535.0,1.895
4547.0,628.0,1.0
3152.0,11694.0,1.86
3562.0,1083.0,1.315
684.0,1.0,2.0
234376.0,16132.0,13.92
106185.0,4336.0,13.0
222786.0,5802.0,2.0
197.0,16.0,2.0
18630.0,20.0,1.0
572.0,550.0,136.99
6918.0,244.0,109.0
99.0,1.0,38.0
9263.0,6.0,42.0
278.0,1.0,60.0
1136.0,6.0,15.0
28827.0,1371.0,8.0
177.0,68.0,11.905
4565.0,134.0,2.0
2705.0,1747.0,2.375
6365.0,3528.0,1.0
40068.0,17085.0,1.0
160.0,1.0,1.0
10.0,1.0,1.0
10.0,1.0,0.995
733.0,2806.0,1.0
6163.0,576.0,1.0
6115.0,8252.0,0.835
1553.0,547.0,3.0
3296.0,45.0,1.7075
40995.0,76.0,2.0
74.0,32.0,1.0
204674.0,236055.0,8.405
161401.0,10242.0,5.0
1957.0,1.0,1.5
964.0,693.0,0.25
5393.0,5245.0,0.165
151.0,5493.0,238.47
8404.0,9111.0,14.0
3827.0,155.0,11.0
13079.0,572.0,39.0
4258.0,1702.0,40.0
5616.0,19774.0,9.0
15901.0,6518.0,9.0
4462.0,2042.0,7.0
5255.5,158.0,4.0
353.0,160.0,0.5
9.0,1.0,1.0
169.0,447.0,3.495
35.0,49.0,0.25
22.0,1.0,1.0
12269.0,7000.0,1.335
11.0,3.0,1.5
4621.0,19968.0,3.435
3699.0,782.0,2.0
47.0,23.0,1.375
18.0,27.0,0.165
290.0,94.0,3.0
12370.0,206.0,1.0
20485.5,270.0,1.0
23516.0,2378.0,1.0
9936.0,34.0,1.0
2083.0,3383.0,2.89
1733.0,35.0,1.0
3970.0,469.0,0.2857142857142857
178308.0,7620.0,0.625
5287.0,1293.0,1.25
1340.0,2908.0,0.25
27882.0,3754.0,1.5
954.0666666666668,649.0,1.2666666666666666
3142.0,177.0,1.0
1749.0,344.0,1.0
5958.0,5283.0,1.4175
3141592.0,3141592.0,4.0
22.0,31.0,1.104375
300.0,214.0,2.0
13417.0,713.0,2.0
3352.0,86800.0,0.835
160.0,618.0,2.0
852.0,438.0,2.0
5047.0,1902.0,10.37
12542.0,13376.0,2.0
213067.0,7364.0,2.0
18833.0,3459.0,1.0
29048.0,73535.0,0.25
1698.0,6694.0,0.634
1343.0,2855.0,32.44
2120.0,657.0,4.0
24969.0,3237.0,2.0
12.0,12.0,0.165
4447.0,1169.0,1.0
0.0,1.0,1.0
241.0,55.0,0.8
54854.0,69270.0,1.335
-3.0,1.0,1.0
69769.0,1804.0,2.0
21.0,12.0,1.5
9.0,2.0,0.25
21551.0,317849.0,1.75
915.0,257.0,1.5758333333333334
90671.0,1011.0,4.0
18237.0,256.0,1.0
19146.0,672.0,1.0
49498.0,12727.0,1.0
1740.0,604.0,0.835
6373.0,22558.0,2.5
33756.0,52256.0,3.0
232.0,92.0,0.8928571428571429
8.0,1.0,1.0
339.0,44.0,0.165
57789.0,7463.0,1.0
262.0,1214.0,0.25
125.0,25.0,0.165
14.0,1.0,1.0
317.0,73.0,0.165
3374.0,1282.0,0.25
13431.0,2238.0,2.42
1181.0,51.0,1.0
1292.0,242.0,0.2
2603.0,19603.0,1.335
709.0,22690.0,1.75
8559.0,175.0,1.0
15422.0,707.0,1.0
1552.0,288.0,1.0
238.0,1.0,1.0
3660.0,464.0,0.165
217.0,279.0,0.8
3931.0,178.0,2.0
26.0,109.0,1.0
8.0,28.0,0.25
1676.0,490.0,1.0
3670.0,23.0,1.0
1137.0,1232.0,1.375
239.0,3.0,0.835
24580.0,363783.0,0.9175
276563.0,110973.0,1.0
1232.0,541.0,8.925
63.0,42.0,1.0
27.0,3.0,1.5
1517.0,5355.0,4.0
365.0,128.0,3.0
347.0,262.0,3.0
39258.0,3902.0,1.29
36.0,1.0,1.375
645.0,19.0,2.0
6167.0,27033.0,1.0
4088.0,541.0,1.6875
233.0,2795.0,1.0
30777.0,88533.0,1.835
6474.0,204.0,1.0
34941.0,34955.0,70.33
71309.0,12433.0,162.0
47597.0,5169.0,141.0
61.0,13.0,12.0
154.0,51.0,46.0
8083.0,122.0,8.0
52617.0,10157.0,13.0
14641.0,58.0,10.0
6094.0,2243.0,5.0
11.0,44.0,0.835
22.0,1.0,1.5
23.0,73.0,1.5
10.0,20.0,1.0
20.0,17.0,0.25
304.0,9.0,1.0
1639.0,1051.0,4.306666666666667
5768.0,8603.0,5.0
22441.0,118.0,8.0
63987.0,8925.0,3.0
2976.0,44.0,3.0
31124.0,226.0,6.666666666666667
448.0,4.0,1.0
402.0,113.0,1.375
89.0,6.0,1.2666666666666666
16001.0,554.0,1.0
11.0,2.0,2.0
17.0,18.0,1.375
2039.0,8412.0,0.5
4445.0,24952.0,0.625
113477.0,2578.0,3.0
2964.0,8.0,3.0
12678.0,3326.0,2.0
10086.0,4437.0,2.0
152.0,454.0,1.0
40.0,3.0,0.835
47.0,1.0,1.25
28444.0,259.0,3.0
952.0,827.0,1.125
17.0,1856.0,166.895
46024.0,134231.0,7.0
7025.0,20.0,6.0
4208.0,1974.0,3.0
59975.0,2338.0,3.0
1576.0,7.0,5.0
27584.0,98.0,2.0
10.0,263.0,2.0
21.0,1.0,0.165
276.0,65.0,1.5
41087.0,8182.0,1.0
2720.0,461.0,1.9792857142857143
1.0,1.0,3.0
1269.0,687.0,3.0
142.0,37.0,0.25
7.0,1.0,0.835
1991.0,8252.0,8734.99
9048.0,1.0,2434.0
407.0,77.0,288.0
1793.0,440.0,228.0
1047.0,61.0,482.0
23628.0,175.0,137.0
21545.0,651.0,151.0
60.0,22.0,73.0
614192.0,20606.0,70.0
125.0,40.0,0.835
596.0,1.0,1.31
8896.0,12634.0,0.8300000000000001
15393.0,797.0,0.25
7.0,13.0,0.835
194.0,858.0,1.855
3135.0,16.0,1.0
24526.0,7021.0,0.7857142857142857
640.0,33.0,3.0
6722.0,16999.0,2.0
9495.0,4220.0,1.0
10568.0,105.0,1.0
270.0,377.0,23.44
4837.0,2678.0,2.4
1651.0,9.0,1.2
8.0,3.0,2.0
24024.0,948.0,1.2
30.0,6.0,2.0
2608.0,485.0,0.25
4275.0,1770.0,1.31
186138.0,50552.0,0.7849999999999999
5992.0,7520.0,1453.46
